;samples;proportion non-seminoma;proportion seminoma;test_fold_length
test fold 145;['TCGA-SN-A84Y-01', 'TCGA-XE-AAOD-01', 'TCGA-WZ-A7V3-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAGZ-01', 'TCGA-SN-A6IS-01', 'TCGA-YU-AA4L-01', 'TCGA-X3-A8G4-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAGF-01', 'TCGA-2G-AAGG-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAFJ-01', 'TCGA-4K-AA1G-01', 'TCGA-2G-AAGS-01', 'TCGA-2G-AAL5-01', 'TCGA-XE-AANI-01', 'TCGA-S6-A8JW-01', 'TCGA-2G-AAGI-05', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAHN-01', 'TCGA-2G-AAG9-01', 'TCGA-YU-A90Q-01', 'TCGA-2G-AAEW-01', 'TCGA-2G-AAG7-01', 'TCGA-SN-A84W-01', 'TCGA-WZ-A8D5-01', 'TCGA-2G-AAG5-01', 'TCGA-ZM-AA06-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGI-01', 'TCGA-2G-AAH8-01', 'TCGA-YU-A94D-01', 'TCGA-SB-A6J6-01', 'TCGA-2G-AAF1-01', 'TCGA-2G-AAHL-01', 'TCGA-2G-AAGM-01', 'TCGA-XE-AAO3-01', 'TCGA-2G-AAGN-01', 'TCGA-XE-A8H4-01', 'TCGA-VF-A8A9-01', 'TCGA-XE-AAOL-01'];0.5348837209302325;0.46511627906976744;43
test fold 146;['TCGA-SN-A84Y-01', 'TCGA-WZ-A7V3-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAGA-01', 'TCGA-XE-AAO6-01', 'TCGA-SO-A8JP-01', 'TCGA-XE-A9SE-01', 'TCGA-2G-AAGF-01', 'TCGA-2G-AAFY-01', 'TCGA-2G-AAKM-01', 'TCGA-2G-AAGG-01', 'TCGA-VF-A8AE-01', 'TCGA-ZM-AA0N-01', 'TCGA-4K-AAAL-01', 'TCGA-2G-AAFG-01', 'TCGA-2G-AAFZ-01', 'TCGA-2G-AAHC-01', 'TCGA-2G-AAH2-01', 'TCGA-YU-A90P-01', 'TCGA-2G-AAGS-01', 'TCGA-ZM-AA0B-01', 'TCGA-4K-AA1H-01', 'TCGA-2G-AAH0-01', 'TCGA-XE-AANI-01', 'TCGA-2G-AAGE-01', 'TCGA-YU-A90Y-01', 'TCGA-S6-A8JW-01', 'TCGA-2G-AAGI-05', 'TCGA-W4-A7U2-01', 'TCGA-ZM-AA0D-01', 'TCGA-YU-A912-01', 'TCGA-WZ-A7V5-01', 'TCGA-2G-AAKG-05', 'TCGA-XE-AAOC-01', 'TCGA-2G-AAG9-01', 'TCGA-XE-AANV-01', 'TCGA-2G-AAG7-01', 'TCGA-2X-A9D6-01', 'TCGA-SN-A84W-01', 'TCGA-W4-A7U4-01', 'TCGA-VF-A8AA-01', 'TCGA-2G-AAEW-01', 'TCGA-2G-AAKD-01', 'TCGA-2G-AAGX-01', 'TCGA-2G-AAH8-01', 'TCGA-2X-A9D5-01', 'TCGA-2G-AAF4-01', 'TCGA-2G-AAF1-01', 'TCGA-S6-A8JY-01', 'TCGA-XE-AAOL-01'];0.4;0.6;50
test fold 147;['TCGA-SN-A6IS-01', 'TCGA-XE-AAOJ-01', 'TCGA-YU-AA4L-01', 'TCGA-2G-AAGA-01', 'TCGA-2G-AAGK-01', 'TCGA-2G-AAKG-01', 'TCGA-X3-A8G4-01', 'TCGA-SO-A8JP-01', 'TCGA-2G-AALP-01', 'TCGA-XE-A9SE-01', 'TCGA-XE-A8H4-01', 'TCGA-2G-AAH3-01', 'TCGA-2G-AAFY-01', 'TCGA-XE-AAOB-01', 'TCGA-XY-A9T9-01', 'TCGA-YU-A90S-01', 'TCGA-2G-AAFG-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAGS-01', 'TCGA-ZM-AA0B-01', 'TCGA-4K-AA1H-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAGE-01', 'TCGA-W4-A7U3-01', 'TCGA-ZM-AA0D-01', 'TCGA-WZ-A7V5-01', 'TCGA-2G-AAKG-05', 'TCGA-XE-AAOC-01', 'TCGA-YU-A94I-01', 'TCGA-WZ-A7V4-01', 'TCGA-2G-AAG9-01', 'TCGA-2G-AAGC-01', 'TCGA-2G-AAEW-01', 'TCGA-2G-AAH4-01', 'TCGA-W4-A7U4-01', 'TCGA-2G-AAEX-01', 'TCGA-2G-AAG5-01', 'TCGA-ZM-AA06-01', 'TCGA-2G-AAGI-01', 'TCGA-2G-AAH8-01', 'TCGA-S6-A8JX-01', 'TCGA-XE-A8H1-01', 'TCGA-2G-AAFH-01', 'TCGA-2G-AAGP-01', 'TCGA-SB-A6J6-01', 'TCGA-2G-AAF1-01', 'TCGA-2G-AAHT-01', 'TCGA-YU-A90W-01', 'TCGA-XE-AANI-01'];0.5;0.5;50
test fold 148;['TCGA-XE-A8H5-01', 'TCGA-XE-AAOD-01', 'TCGA-XE-AANR-01', 'TCGA-2G-AAGZ-01', 'TCGA-SN-A6IS-01', 'TCGA-2G-AAF8-01', 'TCGA-XE-AAO6-01', 'TCGA-2G-AAFV-01', 'TCGA-XE-AAOF-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAGG-01', 'TCGA-VF-A8AE-01', 'TCGA-YU-A90S-01', 'TCGA-2G-AAGY-05', 'TCGA-2G-AAHP-05', 'TCGA-4K-AA1G-01', 'TCGA-2G-AAH0-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAGE-01', 'TCGA-2G-AAFI-01', 'TCGA-XE-AANJ-01', 'TCGA-W4-A7U2-01', 'TCGA-W4-A7U3-01', 'TCGA-ZM-AA0D-01', 'TCGA-YU-A94I-01', 'TCGA-VF-A8AC-01', 'TCGA-2G-AAGC-01', 'TCGA-2G-AAEW-01', 'TCGA-2G-AAH4-01', 'TCGA-2G-AAG0-01', 'TCGA-2G-AAGT-01', 'TCGA-WZ-A8D5-01', 'TCGA-SB-A76C-01', 'TCGA-VF-A8AD-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGI-01', 'TCGA-S6-A8JX-01', 'TCGA-2X-A9D5-01', 'TCGA-2G-AAHP-01', 'TCGA-2G-AAFH-01', 'TCGA-SB-A6J6-01', 'TCGA-2G-AAF1-01', 'TCGA-XE-AAO3-01', 'TCGA-XY-A8S2-01', 'TCGA-XE-A8H4-01', 'TCGA-YU-A90W-01', 'TCGA-XE-AANI-01'];0.3958333333333333;0.6041666666666666;48
test fold 149;['TCGA-SN-A84Y-01', 'TCGA-2G-AAGO-01', 'TCGA-WZ-A7V3-01', 'TCGA-XE-AAOD-01', 'TCGA-2G-AAFN-01', 'TCGA-VF-A8AB-01', 'TCGA-2G-AAGJ-01', 'TCGA-2G-AAHG-01', 'TCGA-XE-AAOJ-01', 'TCGA-XE-AAO6-01', 'TCGA-2G-AAF6-01', 'TCGA-2G-AAGF-01', 'TCGA-2G-AAFY-01', 'TCGA-2G-AAKM-01', 'TCGA-2G-AAGG-01', 'TCGA-XY-A9T9-01', 'TCGA-ZM-AA0E-01', 'TCGA-2G-AAGY-05', 'TCGA-2G-AAFZ-01', 'TCGA-2G-AAHP-05', 'TCGA-2G-AAHC-01', 'TCGA-2G-AAG8-01', 'TCGA-YU-A90P-01', 'TCGA-ZM-AA0B-01', 'TCGA-2G-AAGY-01', 'TCGA-S6-A8JW-01', 'TCGA-W4-A7U2-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAKG-05', 'TCGA-XE-AAOC-01', 'TCGA-WZ-A7V4-01', 'TCGA-4K-AA1I-01', 'TCGA-2G-AAEW-01', 'TCGA-2G-AAG7-01', 'TCGA-2G-AAH4-01', 'TCGA-W4-A7U4-01', 'TCGA-VF-A8AA-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAEX-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGI-01', 'TCGA-XE-AAO4-01', 'TCGA-2G-AAH8-01', 'TCGA-2X-A9D5-01', 'TCGA-YU-A94D-01', 'TCGA-2G-AAFH-01', 'TCGA-2G-AAGM-01', 'TCGA-2G-AAGC-01'];0.5;0.5;48
test fold 150;['TCGA-XE-A8H5-01', 'TCGA-WZ-A7V3-01', 'TCGA-2G-AAFN-01', 'TCGA-XE-AAOJ-01', 'TCGA-2G-AAGA-01', 'TCGA-XE-AAO6-01', 'TCGA-X3-A8G4-01', 'TCGA-2G-AALP-01', 'TCGA-XE-A9SE-01', 'TCGA-2G-AAH3-01', 'TCGA-2G-AAKM-01', 'TCGA-XY-A8S3-01', 'TCGA-4K-AAAL-01', 'TCGA-XY-A9T9-01', 'TCGA-2G-AAGY-05', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAFJ-01', 'TCGA-ZM-AA0B-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAGE-01', 'TCGA-ZM-AA0H-01', 'TCGA-ZM-AA05-01', 'TCGA-WZ-A7V5-01', 'TCGA-XE-AAOC-01', 'TCGA-YU-A94I-01', 'TCGA-ZM-AA0F-01', 'TCGA-4K-AA1I-01', 'TCGA-VF-A8AC-01', 'TCGA-YU-A90Q-01', 'TCGA-XE-AANV-01', 'TCGA-2G-AAG7-01', 'TCGA-2X-A9D6-01', 'TCGA-VF-A8AA-01', 'TCGA-XY-A89B-01', 'TCGA-2G-AAKD-01', 'TCGA-2G-AAFM-01', 'TCGA-SB-A76C-01', 'TCGA-2G-AAG5-01', 'TCGA-ZM-AA06-01', 'TCGA-S6-A8JX-01', 'TCGA-VF-A8A9-01', 'TCGA-YU-A90W-01', 'TCGA-XE-AANI-01'];0.4186046511627907;0.5813953488372093;43
test fold 151;['TCGA-XE-AAOD-01', 'TCGA-WZ-A7V3-01', 'TCGA-2G-AAGJ-01', 'TCGA-SN-A6IS-01', 'TCGA-XE-AAO6-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AALP-01', 'TCGA-XE-A9SE-01', 'TCGA-2G-AAGF-01', 'TCGA-2G-AAH3-01', 'TCGA-2G-AAFY-01', 'TCGA-YU-A90S-01', 'TCGA-2G-AAHP-05', 'TCGA-YU-A90P-01', 'TCGA-4K-AA1G-01', 'TCGA-VF-A8A8-01', 'TCGA-4K-AA1H-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAL5-01', 'TCGA-ZM-AA0H-01', 'TCGA-YU-A90Y-01', 'TCGA-ZM-AA05-01', 'TCGA-XE-AANJ-01', 'TCGA-2G-AAGI-05', 'TCGA-ZM-AA0D-01', 'TCGA-WZ-A7V5-01', 'TCGA-2G-AAL7-01', 'TCGA-2G-AAKG-05', 'TCGA-YU-A90Q-01', 'TCGA-XY-A89B-01', 'TCGA-2G-AAG7-01', 'TCGA-2X-A9D6-01', 'TCGA-2G-AAH4-01', 'TCGA-2G-AAKD-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAEX-01', 'TCGA-ZM-AA06-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGW-01', 'TCGA-YU-A94D-01', 'TCGA-2G-AAGP-01', 'TCGA-SB-A6J6-01', 'TCGA-2G-AAF1-01', 'TCGA-2G-AAHL-01', 'TCGA-XE-AAO3-01', 'TCGA-XY-A8S2-01', 'TCGA-2G-AAHT-01', 'TCGA-VF-A8A9-01', 'TCGA-2G-AAGC-01'];0.44;0.56;50
test fold 152;['TCGA-XE-A8H5-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAFN-01', 'TCGA-VF-A8AB-01', 'TCGA-XE-AAOJ-01', 'TCGA-XE-AAO6-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAGK-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAGF-01', 'TCGA-2G-AAH3-01', 'TCGA-XE-AAOB-01', 'TCGA-XY-A9T9-01', 'TCGA-YU-A90S-01', 'TCGA-2G-AAFG-01', 'TCGA-2G-AAFZ-01', 'TCGA-2G-AAHC-01', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAFJ-01', 'TCGA-ZM-AA0B-01', 'TCGA-4K-AA1H-01', 'TCGA-YU-A90Y-01', 'TCGA-ZM-AA05-01', 'TCGA-S6-A8JW-01', 'TCGA-W4-A7U2-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAHN-01', 'TCGA-WZ-A7V4-01', 'TCGA-4K-AA1I-01', 'TCGA-YU-A90Q-01', 'TCGA-XE-AANV-01', 'TCGA-2G-AAH4-01', 'TCGA-2G-AAEW-01', 'TCGA-2G-AAG0-01', 'TCGA-2G-AAFM-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAG6-01', 'TCGA-ZM-AA06-01', 'TCGA-2G-AAGW-01', 'TCGA-XE-AAO4-01', 'TCGA-YU-A94D-01', 'TCGA-2G-AAHA-01', 'TCGA-2G-AAGP-01', 'TCGA-SB-A6J6-01', 'TCGA-2G-AAGN-01', 'TCGA-XY-A8S2-01', 'TCGA-VF-A8A9-01', 'TCGA-ZM-AA0N-01'];0.4791666666666667;0.5208333333333334;48
test fold 153;['TCGA-XE-AAOD-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAHG-01', 'TCGA-YU-AA4L-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAF6-01', 'TCGA-X3-A8G4-01', 'TCGA-2G-AAKM-01', 'TCGA-VF-A8AE-01', 'TCGA-XY-A9T9-01', 'TCGA-2G-AAFG-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAHC-01', 'TCGA-2G-AAHP-05', 'TCGA-2G-AAH2-01', 'TCGA-4K-AA1G-01', 'TCGA-VF-A8A8-01', 'TCGA-2G-AAGY-01', 'TCGA-ZM-AA0H-01', 'TCGA-YU-A90Y-01', 'TCGA-S6-A8JW-01', 'TCGA-2G-AAGI-05', 'TCGA-W4-A7U3-01', 'TCGA-WZ-A7V5-01', 'TCGA-YU-A912-01', 'TCGA-2G-AAKG-05', 'TCGA-WZ-A7V4-01', 'TCGA-4K-AA1I-01', 'TCGA-VF-A8AC-01', 'TCGA-2G-AAH4-01', 'TCGA-2X-A9D6-01', 'TCGA-W4-A7U4-01', 'TCGA-2G-AAKD-01', 'TCGA-2G-AAG0-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAEX-01', 'TCGA-2G-AAG6-01', 'TCGA-SB-A76C-01', 'TCGA-ZM-AA06-01', 'TCGA-2G-AAGI-01', 'TCGA-2G-AAGW-01', 'TCGA-2G-AAH8-01', 'TCGA-2G-AAF4-01', 'TCGA-2G-AAHP-01', 'TCGA-YU-A94D-01', 'TCGA-2X-A9D5-01', 'TCGA-XE-A8H1-01', 'TCGA-2G-AAGP-01', 'TCGA-SB-A6J6-01', 'TCGA-2G-AAHL-01', 'TCGA-2G-AAGM-01', 'TCGA-XE-AAO3-01', 'TCGA-2G-AAGN-01', 'TCGA-XY-A8S2-01', 'TCGA-S6-A8JY-01', 'TCGA-2G-AAGC-01', 'TCGA-XE-AAOL-01'];0.46551724137931033;0.5344827586206896;58
test fold 154;['TCGA-XE-AAOD-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAGJ-01', 'TCGA-2G-AAGZ-01', 'TCGA-SN-A6IS-01', 'TCGA-XE-AAOJ-01', 'TCGA-2G-AAF8-01', 'TCGA-2G-AAGK-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAF6-01', 'TCGA-X3-A8G4-01', 'TCGA-SO-A8JP-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AALP-01', 'TCGA-2G-AAKG-01', 'TCGA-XE-AAOB-01', 'TCGA-ZM-AA0E-01', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAG8-01', 'TCGA-ZM-AA0B-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAH0-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAGE-01', 'TCGA-XE-AANI-01', 'TCGA-ZM-AA05-01', 'TCGA-W4-A7U3-01', 'TCGA-4K-AA1I-01', 'TCGA-2G-AAG9-01', 'TCGA-YU-A90Q-01', 'TCGA-XE-AANV-01', 'TCGA-2G-AAH4-01', 'TCGA-W4-A7U4-01', 'TCGA-2G-AAEX-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGW-01', 'TCGA-2X-A9D5-01', 'TCGA-2G-AAHP-01', 'TCGA-YU-A94D-01', 'TCGA-2G-AAHA-01', 'TCGA-2G-AAGP-01', 'TCGA-2G-AAHL-01', 'TCGA-XE-A8H4-01', 'TCGA-S6-A8JY-01', 'TCGA-2G-AAGC-01', 'TCGA-XE-AAOL-01'];0.5531914893617021;0.44680851063829785;47
test fold 155;['TCGA-XE-AAOD-01', 'TCGA-WZ-A7V3-01', 'TCGA-VF-A8AB-01', 'TCGA-2G-AAF8-01', 'TCGA-YU-AA4L-01', 'TCGA-2G-AAGA-01', 'TCGA-2G-AAFV-01', 'TCGA-XE-AAOF-01', 'TCGA-2G-AAF6-01', 'TCGA-X3-A8G4-01', 'TCGA-2G-AAH3-01', 'TCGA-2G-AAKM-01', 'TCGA-XY-A8S3-01', 'TCGA-ZM-AA0E-01', 'TCGA-2G-AAGY-05', 'TCGA-2G-AAHC-01', 'TCGA-2G-AAH2-01', 'TCGA-YU-A90P-01', 'TCGA-2G-AAGS-01', 'TCGA-4K-AA1H-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAGE-01', 'TCGA-ZM-AA0H-01', 'TCGA-YU-A90Y-01', 'TCGA-ZM-AA05-01', 'TCGA-2G-AAFI-01', 'TCGA-XE-AANJ-01', 'TCGA-W4-A7U3-01', 'TCGA-YU-A912-01', 'TCGA-2G-AAL7-01', 'TCGA-2G-AAKG-05', 'TCGA-XE-AAOC-01', 'TCGA-4K-AA1I-01', 'TCGA-XY-A89B-01', 'TCGA-2X-A9D6-01', 'TCGA-2G-AAEX-01', 'TCGA-WZ-A8D5-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAGX-01', 'TCGA-ZM-AA06-01', 'TCGA-2G-AAGW-01', 'TCGA-S6-A8JX-01', 'TCGA-XE-A8H1-01', 'TCGA-2G-AAGN-01', 'TCGA-XE-A8H4-01', 'TCGA-2G-AAGC-01'];0.4782608695652174;0.5217391304347826;46
test fold 156;['TCGA-WZ-A7V3-01', 'TCGA-2G-AAFN-01', 'TCGA-XE-AANR-01', 'TCGA-SN-A6IS-01', 'TCGA-XE-AAOJ-01', 'TCGA-XE-AAO6-01', 'TCGA-2G-AAF6-01', 'TCGA-XE-A9SE-01', 'TCGA-2G-AAH3-01', 'TCGA-2G-AAFY-01', 'TCGA-VF-A8AE-01', 'TCGA-XE-AAOB-01', 'TCGA-4K-AAAL-01', 'TCGA-ZM-AA0E-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAFZ-01', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAFJ-01', 'TCGA-ZM-AA0B-01', 'TCGA-2G-AAH0-01', 'TCGA-2G-AAL5-01', 'TCGA-ZM-AA0H-01', 'TCGA-S6-A8JW-01', 'TCGA-2G-AAGI-05', 'TCGA-W4-A7U2-01', 'TCGA-2G-AAFL-01', 'TCGA-WZ-A7V5-01', 'TCGA-2G-AAKG-05', 'TCGA-2G-AAEW-01', 'TCGA-SN-A84W-01', 'TCGA-2X-A9D6-01', 'TCGA-W4-A7U4-01', 'TCGA-VF-A8AA-01', 'TCGA-2G-AAKD-01', 'TCGA-WZ-A8D5-01', 'TCGA-SB-A76C-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAGX-01', 'TCGA-2G-AAGV-01', 'TCGA-ZM-AA06-01', 'TCGA-2G-AAH8-01', 'TCGA-2G-AAGW-01', 'TCGA-S6-A8JX-01', 'TCGA-2X-A9D5-01', 'TCGA-XE-A8H1-01', 'TCGA-2G-AAHA-01', 'TCGA-2G-AAGP-01', 'TCGA-2G-AAF1-01', 'TCGA-2G-AAGN-01', 'TCGA-2G-AAKG-01'];0.42;0.58;50
test fold 157;['TCGA-XE-A8H5-01', 'TCGA-WZ-A7V3-01', 'TCGA-2G-AAFN-01', 'TCGA-VF-A8AB-01', 'TCGA-2G-AAGA-01', 'TCGA-XE-AAO6-01', 'TCGA-2G-AAFV-01', 'TCGA-XE-AAOF-01', 'TCGA-2G-AAF6-01', 'TCGA-X3-A8G4-01', 'TCGA-XE-A9SE-01', 'TCGA-XE-A8H4-01', 'TCGA-2G-AAFY-01', 'TCGA-2G-AAGG-01', 'TCGA-XE-AAOB-01', 'TCGA-ZM-AA0N-01', 'TCGA-2G-AAFG-01', 'TCGA-2G-AAFZ-01', 'TCGA-2G-AAHP-05', 'TCGA-YU-A90P-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAH0-01', 'TCGA-ZM-AA05-01', 'TCGA-S6-A8JW-01', 'TCGA-W4-A7U2-01', 'TCGA-W4-A7U3-01', 'TCGA-ZM-AA0D-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAL7-01', 'TCGA-2G-AAHN-01', 'TCGA-ZM-AA0F-01', 'TCGA-VF-A8AC-01', 'TCGA-YU-A90Q-01', 'TCGA-XY-A89B-01', 'TCGA-SN-A84W-01', 'TCGA-2X-A9D6-01', 'TCGA-2G-AAKD-01', 'TCGA-2G-AAEX-01', 'TCGA-ZM-AA06-01', 'TCGA-XE-AAO4-01', 'TCGA-2G-AAHA-01', 'TCGA-2G-AAF1-01', 'TCGA-2G-AAGN-01', 'TCGA-XY-A8S2-01', 'TCGA-2G-AAHT-01', 'TCGA-VF-A8A9-01', 'TCGA-2G-AAGC-01', 'TCGA-XE-AAOL-01'];0.375;0.625;48
test fold 158;['TCGA-VF-A8AB-01', 'TCGA-2G-AAGJ-01', 'TCGA-SN-A6IS-01', 'TCGA-2G-AAF8-01', 'TCGA-XE-AAO6-01', 'TCGA-2G-AAGK-01', 'TCGA-2G-AAFO-01', 'TCGA-SO-A8JP-01', 'TCGA-2G-AAGF-01', 'TCGA-2G-AAGG-01', 'TCGA-VF-A8AE-01', 'TCGA-ZM-AA0E-01', 'TCGA-2G-AAFG-01', 'TCGA-2G-AAFZ-01', 'TCGA-2G-AAHP-05', 'TCGA-2G-AAFJ-01', 'TCGA-VF-A8A8-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAFI-01', 'TCGA-ZM-AA05-01', 'TCGA-XE-AANJ-01', 'TCGA-2G-AAFL-01', 'TCGA-ZM-AA0D-01', 'TCGA-WZ-A7V5-01', 'TCGA-2G-AAL7-01', 'TCGA-XE-AAOC-01', 'TCGA-ZM-AA0F-01', 'TCGA-2G-AAG9-01', 'TCGA-YU-A90Q-01', 'TCGA-XY-A89B-01', 'TCGA-2X-A9D6-01', 'TCGA-W4-A7U4-01', 'TCGA-2G-AAKD-01', 'TCGA-S6-A8JY-01', 'TCGA-2G-AAFM-01', 'TCGA-2G-AAEX-01', 'TCGA-2G-AAGT-01', 'TCGA-VF-A8AD-01', 'TCGA-S6-A8JX-01', 'TCGA-XE-A8H1-01', 'TCGA-YU-A94D-01', 'TCGA-2G-AAHA-01', 'TCGA-2G-AAGP-01', 'TCGA-SB-A6J6-01', 'TCGA-2G-AAHL-01', 'TCGA-XE-AAO3-01', 'TCGA-XY-A8S2-01', 'TCGA-XE-A8H4-01', 'TCGA-VF-A8A9-01', 'TCGA-2G-AAKG-01', 'TCGA-XE-AANI-01'];0.47058823529411764;0.5294117647058824;51
test fold 159;['TCGA-SN-A84Y-01', 'TCGA-XE-A8H5-01', 'TCGA-2G-AAGO-01', 'TCGA-XE-AANR-01', 'TCGA-2G-AAGZ-01', 'TCGA-XE-AAO6-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAF6-01', 'TCGA-SO-A8JP-01', 'TCGA-2G-AALP-01', 'TCGA-2G-AAH3-01', 'TCGA-2G-AAGG-01', 'TCGA-4K-AAAL-01', 'TCGA-YU-A90S-01', 'TCGA-ZM-AA0E-01', 'TCGA-2G-AAFZ-01', 'TCGA-2G-AAHC-01', 'TCGA-2G-AAG8-01', 'TCGA-4K-AA1G-01', 'TCGA-VF-A8A8-01', 'TCGA-4K-AA1H-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAGE-01', 'TCGA-ZM-AA0H-01', 'TCGA-2G-AAFL-01', 'TCGA-WZ-A7V5-01', 'TCGA-YU-A912-01', 'TCGA-2G-AAHN-01', 'TCGA-2G-AAL7-01', 'TCGA-WZ-A7V4-01', 'TCGA-XY-A89B-01', 'TCGA-2G-AAG7-01', 'TCGA-SN-A84W-01', 'TCGA-2G-AAH4-01', 'TCGA-2G-AAEW-01', 'TCGA-2G-AAG0-01', 'TCGA-2G-AAFM-01', 'TCGA-2G-AAEX-01', 'TCGA-2G-AAGT-01', 'TCGA-WZ-A8D5-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAGI-01', 'TCGA-2G-AAHP-01', 'TCGA-2G-AAGP-01', 'TCGA-SB-A6J6-01', 'TCGA-2G-AAHL-01', 'TCGA-XE-AAO3-01', 'TCGA-2G-AAGN-01', 'TCGA-S6-A8JY-01', 'TCGA-XE-AAOL-01'];0.46;0.54;50
test fold 160;['TCGA-SN-A84Y-01', 'TCGA-XE-A8H5-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAHG-01', 'TCGA-SN-A6IS-01', 'TCGA-YU-AA4L-01', 'TCGA-XE-AAO6-01', 'TCGA-2G-AAFV-01', 'TCGA-X3-A8G4-01', 'TCGA-SO-A8JP-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AALP-01', 'TCGA-2G-AAH3-01', 'TCGA-2G-AAFY-01', 'TCGA-XY-A8S3-01', 'TCGA-2G-AAGG-01', 'TCGA-VF-A8AE-01', 'TCGA-XE-AAOB-01', 'TCGA-YU-A90S-01', 'TCGA-2G-AAFG-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAHP-05', 'TCGA-YU-A90P-01', 'TCGA-2G-AAG8-01', 'TCGA-4K-AA1G-01', 'TCGA-VF-A8A8-01', 'TCGA-2G-AAGY-01', 'TCGA-2G-AAH0-01', 'TCGA-2G-AAL5-01', 'TCGA-2G-AAGE-01', 'TCGA-ZM-AA05-01', 'TCGA-2G-AAGI-05', 'TCGA-W4-A7U3-01', 'TCGA-ZM-AA0D-01', 'TCGA-YU-A912-01', 'TCGA-2G-AAL7-01', 'TCGA-2G-AAKG-05', 'TCGA-YU-A90Q-01', 'TCGA-2G-AAH4-01', 'TCGA-2X-A9D6-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAG6-01', 'TCGA-SB-A76C-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAF4-01', 'TCGA-2G-AAHP-01', 'TCGA-2G-AAFH-01', 'TCGA-2G-AAGP-01', 'TCGA-SB-A6J6-01', 'TCGA-2G-AAGN-01', 'TCGA-XY-A8S2-01', 'TCGA-XE-A8H4-01'];0.5192307692307693;0.4807692307692308;52
